track_id,name,artists,tempo,energy,danceability,valence,loudness
6f3Slt0GbA2bPZlz0aIFXN,The Business,Tiësto,171.12,0.8457,0.9129,0.7437,-5.95
5DT3RVBJy3LIplc4DoVaSe,Loitering (ft. Kodak Black),"Diplo, d00mscrvll, Kodak Black",132.91,0.6627,0.5643,0.576,-7.7
1Owie1R0eqmj7XSsMJoHgz,HIT THE FLOOR,"DIRTYXAN, Promoting Sounds",133.85,0.7841,0.3384,0.3193,-5.33
3rb0tMq42WfggucPm0HHkA,Bad Memories (feat. Elley Duhé & FAST BOY),"MEDUZA, James Carter, Elley Duhé, FAST BOY",154.54,0.9484,0.4964,0.3289,-6.46
7Fbk75ldZsbdQspAmITw2L,Out The Shadows,Graham Winters,117.7,0.7092,0.7904,0.1679,-9.39
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,"Pitbull, Ne-Yo",124.2,0.5789,0.9526,0.7359,-9.61
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",146.09,0.7704,0.7377,0.6606,-2.87
6YMXxomWa9gMt9gnhZOVJY,Addicted To You - David Guetta Remix,"Avicii, David Guetta",128,0.6577,0.6009,0.4194,-3.44
55h7vJchibLdUkxdlX3fK7,Treasure,Bruno Mars,116.1,0.5555,0.6527,0.4115,-10.99
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign",104.93,0.9443,0.6622,0.933,-2.98
24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",104.55,0.6698,0.8781,0.7982,-11.82
4fzsfWzRhPawzqhX8Qt9F3,Stronger,Kanye West,103.88,0.7254,0.7049,0.491,-7.03
7CYCgMa7IgSjDwL3THbeCa,Power,Little Mix,172.99,0.7961,0.7411,0.4246,-5.92
58q2HKrzhC3ozto2nDdN4z,I Like It,"Cardi B, Bad Bunny, J Balvin",136,0.8881,0.8667,0.6459,-10.72
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,135.11,0.5405,0.6247,0.5021,-6.6
3KliPMvk1EvFZu9cvkj8p1,Work Bitch,Britney Spears,128,0.7705,0.9291,0.4028,-11.76
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,"Gorillaz, De La Soul",138.3,0.6004,0.7312,0.6612,-8.89
1pKeFVVUOPjFsOABub0OaV,Side To Side,"Ariana Grande, Nicki Minaj",149.47,0.6216,0.5901,0.9107,-9.9
2id8E4WvczfKHB4LHI7Np3,Edge of Seventeen,Stevie Nicks,225.9,0.5951,0.4473,0.6461,-6.75
6g0Orsxv6glTJCt4cHsRsQ,Formation,Beyoncé,121.76,0.588,0.7026,0.7276,-7.03
5ubwXXOsH9bUhZsQ0Cybha,Level Up,Ciara,130.9,0.4676,0.609,0.7194,-5.34
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,124.16,0.6352,0.4939,0.5637,-0.54
0rIAC4PXANcKmitJfoqmVm,Motivation,Normani,170.84,0.6638,0.5447,0.5931,-9.99
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,149.8,0.5803,0.7022,0.4478,-10.35
2TfSHkHiFO4gRztVIkggkE,"Sugar, We're Goin Down",Fall Out Boy,125.95,0.8948,0.7306,0.7977,-1.26
5Z01UMMf7V1o0MzF86s6WJ,Lose Yourself,Eminem,171.6,0.7405,0.9025,0.5009,-10.96
0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle,Guns N' Roses,123.05,0.4426,0.53,0.3475,-0.62
2gZUPNdnz5Y45eiGxpHGSc,POWER,Kanye West,141.7,0.6214,0.7019,0.3474,-3.57
0E6PsO3ymCfUh7pJQjBgkj,APESHIT,The Carters,160.25,0.5054,0.7528,0.5075,-3.44
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,154.85,0.7278,0.6589,0.5188,-1.0
1D066zixBwqFYqBhKgdPzp,Fergalicious,"Fergie, will.i.am",128.8,0.7397,0.3385,0.6622,-5.07
7nXq1vaZiz7PdbfojpPjW5,Fighter,Christina Aguilera,94.4,0.5902,0.7398,0.654,-2.9
6D60klaHqbCl9ySc8VcRss,Stronger (What Doesn't Kill You),Kelly Clarkson,116.1,0.605,0.3818,0.174,-6.85
37f4ITSlgPX81ad2EvmVQr,Fight Song,Rachel Platten,175.9,0.4337,0.7986,0.6173,-1.7
3jagJCUbdqhDSPuxP8cAqF,Work It,Missy Elliott,101.8,0.8407,0.6395,0.353,-5.54
3RauEVgRgj1IuWdJ9fDs70,The Man,Taylor Swift,109.96,0.6174,0.8023,0.7493,-6.4
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,170.84,0.8229,0.9499,0.316,-5.76
0TlLq3lA83rQOYtrqBqSct,Nonstop,Drake,154.85,0.4891,0.7403,0.7155,-7.53
4RY96Asd9IefaL3X4LOLZ8,In Da Club,50 Cent,179.76,0.6321,0.7182,0.5177,-6.96
0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life,Bon Jovi,119.84,0.9419,0.7882,0.1581,-3.28
2Mpj1Ul5OFPyyP4wB62Rvi,Survivor,Destiny's Child,160.9,0.4496,0.5791,0.5607,-2.79
6sT9MWlJManry3EQwf4V80,Push It,Salt-N-Pepa,132.23,0.7195,0.6507,0.4345,-9.02
6OnfBiiSc9RGKiBKKtZXgQ,We Built This City,Starship,183.66,0.7795,0.669,0.5566,-5.52
27GmP9AWRs744SzKcpJsTZ,Jumpman,"Drake, Future",129.25,0.8924,0.6202,0.205,-7.97
0LWkaEyQRkF0XAms8Bg1fC,Party Up,DMX,100.84,0.7725,0.7153,0.3742,-4.8
7eheoW4hxrH51ww2QePVwF,Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams),"C & C Music Factory, Freedom Williams",114.5,0.7443,0.3907,0.5974,-8.09
21qnJAMtzC6S5SESuqQLEK,Pump Up The Jam,Technotronic,124.5,0.947,0.9034,0.5793,-6.39
6btyEL6NwUa97Nex9cZFvo,Pump It,Black Eyed Peas,153.7,0.7037,0.6114,0.2048,-7.85
3lrNq7iGL5r3KS93YiKAbC,Don't Stop Me Now,Queen,138.81,0.7321,0.4374,0.3451,-5.79
2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,118.8,0.6166,0.7241,0.5972,-5.37
4VqPOruhp5EdPBeR92t6lQ,Uprising,Muse,128,0.8672,0.8902,0.4763,-11.39
2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger,Survivor,108.8,0.6352,0.5702,0.7054,-7.54
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,124.91,0.5476,0.3429,0.2642,-7.19
6nBQFAIVFmAx2oZ8p6lUg6,Tempo (feat. Missy Elliott),"Lizzo, Missy Elliott",107.11,0.7079,0.8266,0.5932,-6.99
0gFB5H3pHN13ERt2FyMuWi,It Takes Two,Rob Base & DJ EZ Rock,111.44,0.7259,0.4731,0.6837,-3.78
3hVrI7snZMTmHCnbwME47u,Physical,Olivia Newton-John,118.64,0.8334,0.7641,0.4306,-4.12
1vfBfRJaHRFVRRYMoJNg7N,Self Control,"Lynnic, ItsArius, Lilly",148.92,0.8789,0.5753,0.7333,-9.53
1GfJCWGLfdev016PSsrUO8,Make Me Feel,oskar med k,173.98,0.7496,0.7043,0.8021,-3.22
4kVGdg7SoWVii2whrSZVZ0,Wicked Game,"vidi roca, Giorgio Gee",132.79,0.7657,0.4936,0.2277,-7.92
6u4CLgult9hhrCqr86B5JW,Hear My Call,H:dn,143.94,0.6174,0.6646,0.4011,-4.25
5ZUIPLoTLJZrPQh2kFZEUM,Addicted,"Zerb, The Chainsmokers, Ink",146.08,0.7183,0.6914,0.6533,-6.94
6ouaFbSkK136LinzuwUxT0,Turn The Lights Off,H:dn,122.18,0.9456,0.7181,0.417,-1.97
4x5Qpwgl85O8k7YHecpFYM,Waves Of Silence,"Lynnic, ItsArius, Dinia",161.76,0.6391,0.3015,0.3539,-7.35
7A1QLN9c3uKeQdhp05o0jp,Best Day of My Life (BUNT. Version) (feat. Tom Odell),"BUNT., Tom Odell",161.26,0.8862,0.6886,0.5457,-12.82
5Ny3P72DhotKKVjQNLcuJR,Wish You Were Here,"DJ Katch, Crudu",89.57,0.6606,0.6981,0.5294,-4.94
75n9WHWZAzhB59xSjIHly4,WACUKA,"AVAION, Sofiya Nzau",127.89,0.625,0.6422,0.3817,-4.59
4ynY3o2BtztX3AdESEe3St,Maze Of Memories,"Lynnic, ItsArius, Dinia",136.64,0.6465,0.6725,0.7344,-7.77
4KNjK6R0aB4j8IT9LU0o6T,Spellbound,oskar med k,128.55,0.7884,0.8869,0.3939,-10.53
1g0YfxzYh148PaS9gIvA1V,So Far Away,H:dn,140.59,0.747,0.7216,0.7654,-6.49
3WtsCUlsCUhmhHRY7gh97V,ABOUT YOU,AVAION,124.16,0.979,0.4782,0.4585,-7.4
4YFYlKxPlLU8evodaGJ95P,Smile,vidi roca,100.86,0.7773,0.7403,0.4438,-1.14
0YPZuHRijrAyigNpYLWfAf,Get U,NALYRO,115.43,0.8488,0.3549,0.3283,-8.25
1AZWXqWzeTM6u17ojCZxEn,How Can I Know,"Ali Bakgor, Giorgio Gee",110.64,0.4253,0.5515,0.2922,-6.8
0cr2WSBR1kbtcUR3MPC09T,You,Nohr,155.32,0.7457,0.5254,0.4435,-11.96
6g0L8OMeK0sa1IuY1De4oy,Una Mattina,Lynnic,127.98,0.7433,0.7885,0.2698,-5.8
16qhKHGz2mDlFrxvNLYeHW,Hypnotized (feat. Ellie Goulding),"Anyma, Ellie Goulding",121.69,0.8893,0.5125,0.6015,-6.21
14VvJaRDxdCLTzRLQIVjgV,Spirit,"Nofsky, Sydni Alexander",172.41,0.9576,0.8042,0.4775,-11.65
0IL6kXB6Iq4y8ugwtXB0Ne,Late Night,"Giorgio Gee, Ali Bakgor",137.79,0.8996,0.5204,0.6449,-6.26
40QdEchi3gLmZitmXFef9z,Stay Blessed,"Swimming Paul, Alecc Crisostomo, D38",117.11,0.9774,0.6343,0.5013,-6.06
03AhbPoniP5uqqJKYGWgZE,Come Find Me (with Clementine Douglas),"MK, Clementine Douglas",172.04,0.4669,0.5499,0.4401,0
5fjIr7fMC19Jmz97GmmSB7,You Said Forever,Embody,123.24,0.6424,0.7717,0.8763,-1.62
2gKO4QzaDBhpprwD4XXZFW,About U,Giorgio Gee,103.87,0.6231,0.5964,0.654,-2.22
0lw9EOcSV0KFhONZaqsJdX,You Make Me,Lane Boy,178.61,0.7756,0.4759,0.6429,-1.25
1IiIM99cTnzVw8bbYl5g2T,DEMONS,"PIAZZA, Plixis",161.0,0.8678,0.6569,0.3528,-4.58
7MStpKz6w6a7Kq0QR7QTu0,i think i'm addicted,"oskar med k, Haley Joelle",122.45,0.9023,0.5397,0.6081,-2.26
23ldecum5hLc2SdQP8kImM,Better Than This,ERIICE,148.65,0.7266,0.5689,0.4799,-11.34
3RQqQjemYsDcWIWS92jETl,Why Don't You Stay - Melodic Techno Remix,"Lynnic, ItsArius, Dinia",161.19,0.7232,0.7645,0.8083,-8.68
1a3u6JpaSEndtkzDyUFOqC,Weightless (jamesjamesjames Remix),"Ben Böhmer, Panama, jamesjamesjames",142.46,0.3948,0.5769,0.2235,-2.14
6wKqS0HwyPQV1aWojIp4p6,Out Of Love,"UPHORA, TULATU",192.14,0.7837,0.2777,0.4954,-4.54
5iaIJOJ6nzw6u1LUbSlOYH,Haunted,"RAZZ, Karim",139.25,0.7797,0.5232,0.6707,-9.86
1jHclkkiSfbUwEMF6khT43,Take It Slow,Embody,160.47,0.3518,0.7225,0.4911,-2.04
6S9NAo3A2MXL1EPkudYB79,Kisses And Cigarettes,"Swimming Paul, Malaki",147.98,0.8669,0.5615,0.339,-6.06
4MSj19TwYBLgDFj3ddEeco,Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",125.35,0.8417,0.6389,0.2816,-6.7
5ihq4qbjaO2r5Ga9aGlsMj,Yo No Lo Sé,ERIICE,164.48,0.5588,0.71,0.5533,-11.4
126ybtMM3PXIo6rnwCSe6i,Can't Help But Worry (Every Night Every Day),Soluna,106.74,0.8101,0.575,0.4665,-9.09
6aMrIFnPewP7tFTWt0kGIN,Sway,"Walk on Water, Plu2",159.11,0.6177,0.7377,0.4561,-8.61
3x6zHanwq8syMP8biYRkjW,Deja Vu,Ali Bakgor,183.78,0.3807,0.7157,0.3319,-4.41
0sSMuuwmUBhaQJTJsf4QgI,Bitter,Marsias,136.38,0.6987,0.3113,0.6794,-8.44
1E77lqCDhIyZqYfzyzgpDO,bleed for your love,"puulse, Francis Skyes",137.52,0.3933,0.7306,0.7135,-6.87
22u0wscY6rWbbr9M7Ezg4j,CAN'T FIND YOU,"AVAION, oskar med k",120.69,0.4959,0.8508,0.8079,-8.81
7xK5a6xjJkLLd8zRKskSMB,Disconnected,"Ali Bakgor, Giorgio Gee",85.57,0.7888,0.3576,0.339,-0.35
5H95n43z0KFcXGCEc0ewe1,Pieces,AVAION,146.71,0.7515,0.4731,0.4557,-9.37
05GvwwTLLID738BbKN1ze0,Because You Move Me,"Tinlicker, Helsloot",165.71,0.5585,0.501,0.5423,-1.3
12ED2UcU9cXH0WxwFxFet6,Fading Away,"YORK, Thomas Foster, Scot & Millfield, aqeliki",157.01,0.8369,0.6504,0.3754,-7.63
0O8CNTiKbHeauSkNoSL7xc,Lost,Maxomar,145.88,0.8162,0.782,0.2192,-5.92
3EyzNnZNIwKy1PeHZhwSXu,Skylight,H:dn,178.61,0.5224,0.416,0.3859,-9.29
4iD3msRl5hJUBEtrQwnR4k,Take over Control (feat. Eva Simons),"AFROJACK, Eva Simons",130,0.6747,0.3123,0.8214,-7.91
5MMLS3xm12D7N26xlfFApr,Runaway Baby,Bruno Mars,158.02,0.558,0.419,0.2026,-6.31
0AUIjHlr9KfbVoemhhxHS6,Yeah 3x,Chris Brown,143.48,0.8148,0.406,0.5051,-8.95
6KlESwx6JWh4QiPYRU4Nm3,Smooth Criminal,Alien Ant Farm,126.8,0.4443,0.4741,0.5157,-9.69
5IVuqXILoxVWvWEPm82Jxr,Crazy In Love (feat. JAY-Z),"Beyoncé, JAY-Z",99.2,0.4397,0.7527,0.0727,-1.13
3r04p85xiJh9Wqk59YDYdc,OMG,"USHER, will.i.am",130,0.4811,0.6162,0.4405,-8.55
2VOomzT6VavJOGBeySqaMc,Disturbia,Rihanna,115.11,0.752,0.7385,0.4263,-7.23
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",118.4,0.6787,0.4039,0.8069,-8.24
1LbhI0PgXF5kyJEE88xoUU,Starships,Nicki Minaj,157.34,0.7215,0.4437,0.1826,-6.01
5FQazQxWUHsJ8QDaXLdFzR,Blow,Kesha,127.77,0.824,0.1518,0.3074,-4.09
5iQYqhtjNeEw4Y8Ln5Nvsi,Turn Me On (feat. Nicki Minaj),"David Guetta, Nicki Minaj",128,0.7421,0.682,0.2992,-2.64
7LcfRTgAVTs5pQGEQgUEzN,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5, Christina Aguilera",128,0.906,0.7162,0.2879,-5.5
45cH2I5on8CoHQ34wqfumA,Unstoppable,Ana Shine,117.41,0.7535,0.7209,0.1894,0
3LMArhgZTNXB4mrtLwkUSn,More,USHER,124.9,0.7252,0.2009,0.2777,-8.42
60NgMTkfSGmcMUModciLN4,Let's Go - Radio Edit - feat. Ne-Yo,Calvin Harris,128,0.8385,0.5058,0.3804,-4.6
3pU3mRumn5rWii1rKNu1eV,Bulletproof,La Roux,123,0.6077,0.4661,0.5495,-7.39
0obBFrPYkSoBJbvHfUIhkv,Sexy And I Know It,LMFAO,130,0.7221,0.382,0.3256,-3.82
0kWQFzHzEPtvrKnwngvWyb,Master of the Kill,Ana Shine,130.5,0.6501,0.497,0.7308,-3.12
2rqld2UWV7kNu0W7XknRLc,Say Hey (I Love You) (featuring Cherine Anderson),Michael Franti & Spearhead,158.39,0.9256,0.7452,0.1926,0
6epn3r7S14KUqlReYr77hA,Baby,"Justin Bieber, Ludacris",101.55,0.5874,0.545,0.3553,-8.21
12lZTPlXwUtrQuhEty6098,Raise Your Glass,P!nk,122,0.7092,0.5148,0.186,-0.62
5R9a4t5t5O0IsznsrKPVro,Single Ladies (Put a Ring on It),Beyoncé,97.1,0.7465,0.2601,0.4881,-7.31
6atDVsk39X4LS1C3hdgX5l,Lose Yourself - Soundtrack Version,Eminem,106.82,0.5009,0.7309,0.7522,-4.15
5Qgd6JglVBBBaxgCJ52FRt,Push It (Glee Cast Version),Glee Cast,127.6,0.8061,0.6585,0.8214,-5.83
70dWrqAp30TmWeibQkn0i7,Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock",130,0.9603,0.6227,0.5531,-3.64
1bLG2x4ePXBr6TXFBOmXRk,We Found Love,"Rihanna, Calvin Harris",128,0.8275,0.4895,0.4578,-10.61
2vVc2G9w2JteBgxpSUVwX5,Let It Rock,"Kevin Rudolf, Lil Wayne",160.8,0.8055,0.6447,0.5236,-4.36
1brljRl4Fzy7wUFlD1uYZg,Domino,Jessie J,126.82,0.4835,0.5236,0.2481,-0.94
5Z7ygHQo02SUrFmcgpwsKW,Wild Ones (feat. Sia),"Flo Rida, Sia",126.8,0.905,0.5776,0.8337,-6.19
49ySwzAyvxcNXOkOP6ZB1L,The Motto,"Drake, Lil Wayne",101.1,0.713,0.7581,0.4435,-8.0
5FeuH4LtGxDWkSkhRG47QT,You Make Me Feel... (feat. Sabi),"Cobra Starship, Sabi",132.1,0.9255,0.6131,0.3661,-4.1
5cCAZS9VhLGEDV4NCfieeg,I Wanna Go,Britney Spears,130,0.8683,0.8161,0.5521,-4.55
6li2D8wQPvgwI2QIrGPhAF,My Life Would Suck Without You,Kelly Clarkson,145.1,0.5526,0.4717,0.6283,-6.32
6wAdqKcL7uESrsekjLTKod,Born This Way,Lady Gaga,133.38,0.848,0.8312,0.7661,-7.8
1MOh2kEqV4QBcye2ciQAjp,Where Have You Been,Rihanna,128,0.4911,0.5704,0.219,-13.77
7nAeBxnvQYT01pzDnsiL3p,Countdown,Beyoncé,167.4,0.7132,0.6732,0.3633,-6.7
08IrLUx06jBA1Hv8kuAIw2,Stronger,Kanye West,103.88,0.5119,0.5902,0.611,-8.33
3NcO4jGK1Opb5ea0mYLpxb,Good Feeling,Flo Rida,128,0.7545,0.3876,0.3593,-3.07
4ujWhz3eOT9eV4RtptGWfe,4 Minutes - Featuring Justin Timberlake and Timbaland Album Version,Madonna,113,0.8427,0.5007,0.453,-3.28
7FfRF16SWU2h6tfB4lOqtA,Makes Me Wonder,Maroon 5,113.89,0.7765,0.2482,0.4651,-6.71
3941McqnrX9blUEelPxgot,Man! I Feel Like A Woman!,Shania Twain,124.91,0.8073,0.5814,0.4001,-4.6
0293bTPojlkLvyr8ojc74y,You Make My Dreams,Daryl Hall & John Oates,167.38,0.3908,0.7602,0.8224,-7.28
64B4UbGRLtGRBtiN2m8OvF,Love Shack - Edit,The B-52's,133.4,0.9378,0.8183,0.7954,-4.22
4hBW3h6FnQNh7NRmyxLLG7,Valerie - Cover of Mark Ronson feat. Amy Winehouse,Glee Cast,107.11,0.6763,0.667,0.7253,-1.76
72phhQtfwZcRweweRxxkmU,According To You,Orianthi,130.83,0.8315,0.6892,0.6844,-1.98
2Qo9jlq1X3luf3ueow7ZGR,Absolutely Not - Chanel Club Extended Mix Edit,"Deborah Cox, Hex Hector, Mac Quayle",130,0.5567,0.6017,0.4699,-8.76
0DiWol3AO6WpXZgp0goxAV,One More Time,Daft Punk,164.7,0.7318,0.81,0.2282,-3.78
5sNESr6pQfIhL3krM8CtZn,Numb / Encore,"JAY-Z, Linkin Park",107.1,0.9122,0.6365,0.4611,-6.92
4e5lEqydMatcEio6ef9Dpf,Phenomenal,Eminem,160.8,0.8016,0.5916,0.1864,-5.23
4xkOaSrkexMciUUogZKVTS,Till I Collapse,"Eminem, Nate Dogg",85.6,0.9482,0.8245,0.3121,-1.59
5WSL7UTa38jMWoBzObD4BD,I Can't Stop,Flux Pavilion,162.7,0.3975,0.4204,0.6316,-6.22
7vwkKw2Xd7Pks1X712Au0T,Remember the Name (feat. Styles of Beyond),"Fort Minor, Styles Of Beyond",170.14,0.8908,0.4813,0.5326,-4.76
5YEOzOojehCqxGQCcQiyR4,Panda,Desiigner,145.1,0.8552,0.2406,0.603,-1.7
3xgK660fsZH7ZDcOMfIdfB,Jungle,"X Ambassadors, Jamie N Commons",78.01,0.7414,0.3634,0.6737,-5.18
4jtyUzZm9WLc2AdaJ1dso7,0 To 100 / The Catch Up,Drake,179.8,0.7286,0.6518,0.7638,-8.87
04aAxqtGp5pv12UXAg4pkq,Centuries,Fall Out Boy,87.97,0.4989,0.5533,0.5607,-13.32
4uX7M3U4I1nsZ7SFM4XNCn,Kings Never Die,"Eminem, Gwen Stefani",159.94,0.6283,0.7467,0.1753,-9.84
7i6r9KotUPQg3ozKKgEPIN,Seven Nation Army,The White Stripes,168.6,0.7242,0.2888,0.5473,-4.34
2Heh0PiDG6F9fUHID8XV0Z,Warriors,Imagine Dragons,156.01,0.5841,0.7139,0.5705,-6.43
1paUZGIeMdtqYMnBI1LoFI,2 Scorpios,Ana Shine,126.32,0.883,0.7387,0.3241,-10.03
1NtIMM4N0cFa1dNzN15chl,Believer,Imagine Dragons,124.91,0.4299,0.8381,0.4564,-5.71
